,user.screen_name,user.followers_count,user.friends_count,created_at
28796,palavrossavrvs,27730.0,30494.0,2019-02-22 07:28:40+05:30
3466,OptimumAmerica,20597.0,18542.0,2019-02-21 21:10:05+05:30
17273,JamieOsta,18096.0,17670.0,2019-02-21 21:09:38+05:30
9239,blupony3,7416.0,5817.0,2019-02-22 07:23:30+05:30
3514,janrobinjackson,7106.0,6574.0,2019-02-21 21:10:10+05:30
11257,KaydeeKing,5904.0,2707.0,2019-02-21 21:12:54+05:30
24330,KARYN19138585,5546.0,5549.0,2019-02-22 07:26:21+05:30
7967,AP_Doramaqueen,4731.0,4751.0,2019-02-22 07:22:58+05:30
22025,Lapidostrous,4542.0,4641.0,2019-02-21 21:12:54+05:30
20316,hockeycoug44,4338.0,4964.0,2019-02-21 21:12:04+05:30
31269,Jeffers28083958,3390.0,4117.0,2019-02-22 07:30:21+05:30
23372,unlv19901,3260.0,3536.0,2019-02-22 07:25:54+05:30
17738,rrjr724,2299.0,2829.0,2019-02-21 21:09:41+05:30
27457,EspeOppenheimer,1823.0,1526.0,2019-02-22 07:27:35+05:30
7732,Amter,1698.0,1580.0,2019-02-22 07:22:01+05:30
7943,bighornranch,1434.0,1055.0,2019-02-22 07:22:55+05:30
23050,zukinjim,1184.0,719.0,2019-02-22 07:25:34+05:30
11516,lubin1943,1162.0,3142.0,2019-02-21 21:13:12+05:30
20913,UWDawgFan88,877.0,3746.0,2019-02-21 21:12:13+05:30
27131,KeithMo97418901,857.0,987.0,2019-02-22 07:27:49+05:30
30963,smnewmark_,712.0,712.0,2019-02-22 07:30:12+05:30
22043,crunchygoodness,593.0,680.0,2019-02-21 21:12:55+05:30
18914,AndreasTheSwede,537.0,717.0,2019-02-21 21:11:46+05:30
17598,WHSCI,522.0,1142.0,2019-02-21 21:09:30+05:30
7232,mayanscaper,462.0,745.0,2019-02-22 07:21:45+05:30
19541,Abhinary,421.0,65.0,2019-02-21 21:11:36+05:30
8503,elioraeliora1,382.0,532.0,2019-02-22 07:23:21+05:30
28363,WHoward1373,367.0,985.0,2019-02-22 07:28:29+05:30
20373,MsLuBu,305.0,220.0,2019-02-21 21:12:40+05:30
23301,GuinShaw,261.0,565.0,2019-02-22 07:25:52+05:30
22932,JeanPowers,228.0,370.0,2019-02-22 07:25:32+05:30
8649,Riley4Reason,224.0,259.0,2019-02-22 07:23:23+05:30
9699,8bluebird,218.0,1253.0,2019-02-22 07:23:52+05:30
19672,Fenris459,200.0,226.0,2019-02-21 21:11:42+05:30
26689,ToanAmalfi,181.0,173.0,2019-02-22 07:27:42+05:30
21776,XuXu2811,178.0,168.0,2019-02-21 21:12:45+05:30
26103,miguelivan69,160.0,516.0,2019-02-22 07:27:13+05:30
1861,jiggyjennn,150.0,139.0,2019-02-21 21:09:06+05:30
2,Ghousertatt,110.0,130.0,2019-02-21 21:12:06+05:30
7748,hueptroop,83.0,1053.0,2019-02-22 07:22:10+05:30
11856,Melxtex,55.0,120.0,2019-02-21 21:13:06+05:30
6749,maycewindu,53.0,150.0,2019-02-22 07:21:11+05:30
1022,Gemma__RN,52.0,2583.0,2019-02-21 21:09:04+05:30
30977,jackiemarelle,43.0,216.0,2019-02-22 07:30:12+05:30
15928,dstedham511,43.0,26.0,2019-02-21 21:11:09+05:30
20058,BernattSue,21.0,62.0,2019-02-21 21:11:55+05:30
11117,dtbowers30,15.0,55.0,2019-02-22 07:25:21+05:30
19351,marwantrkemara,9.0,34.0,2019-02-21 21:11:30+05:30
8145,charlie_v63,7.0,43.0,2019-02-22 07:23:09+05:30
26046,angrymidget5,0.0,14.0,2019-02-22 07:27:12+05:30
