,user.screen_name,user.followers_count,user.friends_count,created_at
20062,NJTRANSIT,235167.0,150.0,2019-02-21 21:11:56+05:30
28547,TeedIsMe,50508.0,48095.0,2019-02-22 07:28:34+05:30
21344,kathystone1221,33831.0,30693.0,2019-02-21 21:12:29+05:30
31186,Bamafanaticfan1,31021.0,31409.0,2019-02-22 07:30:18+05:30
12262,SandyKuti,7319.0,7881.0,2019-02-21 21:13:22+05:30
19118,LuLaY_T,6847.0,2973.0,2019-02-21 21:11:22+05:30
28960,LaurieSpoon,6307.0,6931.0,2019-02-22 07:28:45+05:30
23227,Margare04323327,5646.0,5970.0,2019-02-22 07:25:50+05:30
27943,Anthellia,5246.0,5250.0,2019-02-22 07:28:22+05:30
26540,Schanette55,4781.0,3961.0,2019-02-22 07:27:25+05:30
29959,pizzaital,4128.0,5000.0,2019-02-22 07:29:06+05:30
3645,bruce_bwkm,3148.0,5001.0,2019-02-21 21:10:18+05:30
22021,dm3300,2950.0,2321.0,2019-02-21 21:12:54+05:30
27394,slxvmm,2516.0,1594.0,2019-02-22 07:27:34+05:30
17252,1sthappysodme,2371.0,2417.0,2019-02-21 21:09:37+05:30
28434,ComPattyjs,2212.0,2535.0,2019-02-22 07:28:31+05:30
20588,3thofme,1894.0,1214.0,2019-02-21 21:12:00+05:30
29430,AllisonRhody56,1722.0,2860.0,2019-02-22 07:29:13+05:30
7372,julianswainson,1399.0,2231.0,2019-02-22 07:21:48+05:30
12112,DarrellWest1984,1393.0,4385.0,2019-02-21 21:13:15+05:30
26173,tentenvilu,1201.0,2099.0,2019-02-22 07:27:15+05:30
19766,Donna_Garness,1189.0,1864.0,2019-02-21 21:11:45+05:30
3633,RickyCa69392149,1117.0,1267.0,2019-02-21 21:10:17+05:30
28044,ExcelAfrica,741.0,201.0,2019-02-22 07:28:23+05:30
25817,sagittxrus,641.0,508.0,2019-02-22 07:27:05+05:30
27741,coldwarning,576.0,497.0,2019-02-22 07:28:19+05:30
26913,roderickburrell,544.0,116.0,2019-02-22 07:27:29+05:30
6256,lisaginardi,466.0,422.0,2019-02-22 07:20:34+05:30
31089,kblast523,430.0,546.0,2019-02-22 07:30:16+05:30
14264,CarsinMichel,404.0,289.0,2019-02-21 21:09:16+05:30
10877,timothy_burden,403.0,304.0,2019-02-22 07:25:03+05:30
610,nickpaluzzi,395.0,415.0,2019-02-21 21:08:38+05:30
10690,VACatLady,391.0,101.0,2019-02-22 07:25:11+05:30
9142,21PotterDragons,326.0,554.0,2019-02-22 07:23:29+05:30
17263,manf40,275.0,880.0,2019-02-21 21:09:37+05:30
26918,BobtheReplier,202.0,182.0,2019-02-22 07:27:29+05:30
29383,galnolabebu,181.0,308.0,2019-02-22 07:28:56+05:30
5720,bob_shoots,151.0,203.0,2019-02-21 21:10:45+05:30
22394,kzocd,141.0,481.0,2019-02-22 07:25:38+05:30
16059,DreamsRestless,121.0,322.0,2019-02-21 21:11:18+05:30
12203,EvilMissMiracle,92.0,241.0,2019-02-21 21:13:19+05:30
11134,thaimrc,87.0,410.0,2019-02-22 07:25:22+05:30
29877,FindAClearTruth,50.0,43.0,2019-02-22 07:29:04+05:30
6932,davi_ferrarez,40.0,151.0,2019-02-22 07:21:36+05:30
10779,1OneCredit,35.0,188.0,2019-02-22 07:25:14+05:30
4892,mcnellenbach,34.0,92.0,2019-02-21 21:10:18+05:30
28516,KochOdette,31.0,174.0,2019-02-22 07:28:33+05:30
12026,RealVicAndrew,22.0,90.0,2019-02-21 21:13:12+05:30
7744,rothauch,11.0,34.0,2019-02-22 07:22:10+05:30
20920,Somethin_k,0.0,13.0,2019-02-21 21:12:13+05:30
