,user.screen_name,user.followers_count,user.friends_count,created_at
8534,SiddonsDan,102977.0,105279.0,2019-02-22 07:23:22+05:30
7619,greeneyedlucy84,13476.0,11098.0,2019-02-22 07:22:07+05:30
10378,Duxgirl27,8673.0,6828.0,2019-02-22 07:24:01+05:30
19970,TheRealTD1,8493.0,7924.0,2019-02-21 21:11:52+05:30
22857,Dmacleod59,7551.0,7097.0,2019-02-22 07:25:31+05:30
19935,southiebred,6716.0,6263.0,2019-02-21 21:11:51+05:30
7355,Anthr0p0m0rph,5488.0,5881.0,2019-02-22 07:21:47+05:30
31097,EcoExpert1,5327.0,3861.0,2019-02-22 07:30:16+05:30
31070,KNatkaniec,3808.0,3679.0,2019-02-22 07:30:15+05:30
10149,MadiaraJohn,3611.0,4909.0,2019-02-22 07:23:57+05:30
4767,Deathspike,3388.0,2202.0,2019-02-21 21:10:15+05:30
31161,mwilliams3865,2869.0,2674.0,2019-02-22 07:30:17+05:30
24024,FLsunshineshop,2785.0,3127.0,2019-02-22 07:26:12+05:30
17582,tend2wobble,2540.0,4020.0,2019-02-21 21:09:29+05:30
17221,robhaan1,2520.0,5002.0,2019-02-21 21:11:14+05:30
23073,swestlady65,2342.0,3977.0,2019-02-22 07:25:34+05:30
21125,brokenarrow828,2234.0,4624.0,2019-02-21 21:12:21+05:30
5480,monkeyface__,2158.0,4888.0,2019-02-21 21:10:38+05:30
28981,sjrlady,2138.0,2781.0,2019-02-22 07:28:46+05:30
28360,MColetteK,2101.0,5000.0,2019-02-22 07:28:29+05:30
7600,niallhpoet,1848.0,1412.0,2019-02-22 07:22:07+05:30
10320,DawnSenate47,1528.0,3182.0,2019-02-22 07:24:01+05:30
6622,gigibuddapdx,1154.0,1595.0,2019-02-22 07:21:03+05:30
7211,lbastura,1150.0,571.0,2019-02-22 07:21:44+05:30
10674,vickiemwv,864.0,2431.0,2019-02-22 07:25:10+05:30
10733,MrBond2229,785.0,2159.0,2019-02-22 07:25:12+05:30
27078,embracethecray,774.0,795.0,2019-02-22 07:27:48+05:30
1547,chuck2tall,709.0,2579.0,2019-02-21 21:08:54+05:30
24309,masporrashovana,637.0,437.0,2019-02-22 07:26:21+05:30
9024,MRKREEP,618.0,814.0,2019-02-22 07:23:27+05:30
6025,padenrizkidz,539.0,1278.0,2019-02-21 21:10:55+05:30
19356,missmar3211,527.0,1107.0,2019-02-21 21:11:30+05:30
26435,ccaspen,448.0,562.0,2019-02-22 07:27:22+05:30
29403,xpect0patronum_,261.0,402.0,2019-02-22 07:28:57+05:30
30774,DMLNewsApp,196.0,7.0,2019-02-22 07:30:08+05:30
21923,xoxosalma_,191.0,248.0,2019-02-21 21:12:50+05:30
21587,TMcCasey,122.0,679.0,2019-02-21 21:12:38+05:30
1169,karneybrazil,117.0,215.0,2019-02-21 21:08:44+05:30
1725,jeffrey_mcvay24,111.0,121.0,2019-02-21 21:09:00+05:30
3947,cepheus7mm,103.0,148.0,2019-02-21 21:11:01+05:30
31027,TigerGaming_com,90.0,0.0,2019-02-22 07:30:14+05:30
30415,Ann34304939,78.0,144.0,2019-02-22 07:29:56+05:30
30419,dliss62,60.0,110.0,2019-02-22 07:29:57+05:30
23512,gmafkagailfan,46.0,162.0,2019-02-22 07:25:58+05:30
5208,alexdadas,44.0,481.0,2019-02-21 21:10:29+05:30
4212,maggie79222399,39.0,59.0,2019-02-21 21:10:48+05:30
31146,GawlinskiLaura,30.0,406.0,2019-02-22 07:30:17+05:30
20902,GoadTrump,14.0,1.0,2019-02-21 21:12:12+05:30
11327,0ffical_C0NNOR,9.0,11.0,2019-02-21 21:12:59+05:30
9006,Ctuck41839958,1.0,0.0,2019-02-22 07:23:27+05:30
