user.screen_name,created_at_D,original_tweet_count,retweet_count,reply_count,mention_count
miguelivan69,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
JamieOsta,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
AndreasTheSwede,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
jackiemarelle,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
EspeOppenheimer,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
BernattSue,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
KeithMo97418901,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
Amter,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
charlie_v63,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
elioraeliora1,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
rrjr724,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
maycewindu,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
MsLuBu,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
zukinjim,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
jiggyjennn,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
dtbowers30,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
WHoward1373,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
XuXu2811,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
lubin1943,2019-02-21 00:00:00+05:30,1.0,0.0,0.0,False
bighornranch,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
ToanAmalfi,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
UWDawgFan88,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
Abhinary,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
Jeffers28083958,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
OptimumAmerica,2019-02-21 00:00:00+05:30,1.0,0.0,0.0,False
palavrossavrvs,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
janrobinjackson,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
smnewmark_,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
8bluebird,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
KARYN19138585,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
mayanscaper,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
Gemma__RN,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
dstedham511,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
KaydeeKing,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
marwantrkemara,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
AP_Doramaqueen,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
hueptroop,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
Melxtex,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
GuinShaw,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
Riley4Reason,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
WHSCI,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
Ghousertatt,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
angrymidget5,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
Lapidostrous,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
blupony3,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
JeanPowers,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
Fenris459,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
crunchygoodness,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
hockeycoug44,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
unlv19901,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,False
WHSCI,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
Lapidostrous,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
KARYN19138585,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
UWDawgFan88,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
OptimumAmerica,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
JamieOsta,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
lubin1943,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
zukinjim,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
Ghousertatt,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
rrjr724,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
Amter,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
Fenris459,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
EspeOppenheimer,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
marwantrkemara,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
dstedham511,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
hueptroop,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
jiggyjennn,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
palavrossavrvs,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
miguelivan69,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
blupony3,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
GuinShaw,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
mayanscaper,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
Riley4Reason,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
Gemma__RN,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
KaydeeKing,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
AP_Doramaqueen,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
Melxtex,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
unlv19901,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
angrymidget5,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
JeanPowers,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
crunchygoodness,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
hockeycoug44,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
AndreasTheSwede,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
smnewmark_,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
8bluebird,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
jackiemarelle,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
BernattSue,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
KeithMo97418901,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
charlie_v63,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
elioraeliora1,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
maycewindu,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
MsLuBu,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
WHoward1373,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
XuXu2811,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
bighornranch,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
ToanAmalfi,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
Abhinary,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
Jeffers28083958,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
janrobinjackson,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,False
dtbowers30,2019-02-22 00:00:00+05:30,1.0,0.0,0.0,False
