user.screen_name,created_at_D,original_tweet_count,retweet_count,reply_count,mention_count
0ffical_C0NNOR,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
padenrizkidz,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
Duxgirl27,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
embracethecray,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
FLsunshineshop,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
swestlady65,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
southiebred,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
KNatkaniec,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
brokenarrow828,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
DMLNewsApp,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
alexdadas,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
Ctuck41839958,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
cepheus7mm,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
mwilliams3865,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
SiddonsDan,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
MrBond2229,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
maggie79222399,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
MadiaraJohn,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
Anthr0p0m0rph,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
TMcCasey,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
GawlinskiLaura,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
gmafkagailfan,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
Ann34304939,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
chuck2tall,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
robhaan1,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
karneybrazil,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
lbastura,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
MColetteK,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
xoxosalma_,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
missmar3211,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
masporrashovana,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
sjrlady,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
greeneyedlucy84,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
dliss62,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
ccaspen,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
vickiemwv,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
TigerGaming_com,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
jeffrey_mcvay24,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
EcoExpert1,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
MRKREEP,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
DawnSenate47,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
TheRealTD1,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
niallhpoet,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
xpect0patronum_,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
GoadTrump,2019-02-21 00:00:00+05:30,1.0,0.0,0.0,0
Dmacleod59,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
Deathspike,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
monkeyface__,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
gigibuddapdx,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
