user.screen_name,original_tweet_count,retweet_count,reply_count,mention_count
8bluebird,0.0,0.0,0.0,0
AP_Doramaqueen,0.0,0.0,0.0,0
Abhinary,0.0,0.0,0.0,0
Amter,0.0,0.0,0.0,0
AndreasTheSwede,0.0,0.0,0.0,0
BernattSue,0.0,0.0,0.0,0
EspeOppenheimer,0.0,0.0,0.0,0
Fenris459,0.0,0.0,0.0,0
Gemma__RN,0.0,0.0,0.0,0
Ghousertatt,0.0,0.0,0.0,0
GuinShaw,0.0,0.0,0.0,0
JamieOsta,0.0,0.0,0.0,0
JeanPowers,0.0,0.0,0.0,0
Jeffers28083958,0.0,0.0,0.0,0
KARYN19138585,0.0,0.0,0.0,0
KaydeeKing,0.0,0.0,0.0,0
KeithMo97418901,0.0,0.0,0.0,0
Lapidostrous,0.0,0.0,0.0,0
Melxtex,0.0,0.0,0.0,0
MsLuBu,0.0,0.0,0.0,0
OptimumAmerica,1.0,0.0,0.0,0
Riley4Reason,0.0,0.0,0.0,0
ToanAmalfi,0.0,0.0,0.0,0
UWDawgFan88,0.0,0.0,0.0,0
WHSCI,0.0,0.0,0.0,0
WHoward1373,0.0,0.0,0.0,0
XuXu2811,0.0,0.0,0.0,0
angrymidget5,0.0,0.0,0.0,0
bighornranch,0.0,0.0,0.0,0
blupony3,0.0,0.0,0.0,0
charlie_v63,0.0,0.0,0.0,0
crunchygoodness,0.0,0.0,0.0,0
dstedham511,0.0,0.0,0.0,0
dtbowers30,1.0,0.0,0.0,0
elioraeliora1,0.0,0.0,0.0,0
hockeycoug44,0.0,0.0,0.0,0
hueptroop,0.0,0.0,0.0,0
jackiemarelle,0.0,0.0,0.0,0
janrobinjackson,0.0,0.0,0.0,0
jiggyjennn,0.0,0.0,0.0,0
lubin1943,1.0,0.0,0.0,0
marwantrkemara,0.0,0.0,0.0,0
mayanscaper,0.0,0.0,0.0,0
maycewindu,0.0,0.0,0.0,0
miguelivan69,0.0,0.0,0.0,0
palavrossavrvs,0.0,0.0,0.0,0
rrjr724,0.0,0.0,0.0,0
smnewmark_,0.0,0.0,0.0,0
unlv19901,0.0,0.0,0.0,0
zukinjim,0.0,0.0,0.0,0
