user.screen_name,original_tweet_count,retweet_count,reply_count,mention_count
1OneCredit,0.0,0.0,0.0,0
1sthappysodme,0.0,0.0,0.0,0
21PotterDragons,1.0,0.0,0.0,0
3thofme,1.0,0.0,0.0,0
AllisonRhody56,0.0,0.0,0.0,0
Anthellia,0.0,0.0,0.0,0
Bamafanaticfan1,0.0,0.0,0.0,0
BobtheReplier,0.0,0.0,0.0,0
CarsinMichel,0.0,0.0,0.0,0
ComPattyjs,0.0,0.0,0.0,0
DarrellWest1984,0.0,0.0,0.0,0
Donna_Garness,1.0,0.0,0.0,0
DreamsRestless,0.0,0.0,0.0,0
EvilMissMiracle,0.0,0.0,0.0,0
ExcelAfrica,0.0,0.0,0.0,0
FindAClearTruth,0.0,0.0,0.0,0
KochOdette,0.0,0.0,0.0,0
LaurieSpoon,0.0,0.0,0.0,0
LuLaY_T,0.0,0.0,0.0,0
Margare04323327,0.0,0.0,0.0,0
NJTRANSIT,0.0,0.0,0.0,0
RealVicAndrew,1.0,0.0,0.0,0
RickyCa69392149,0.0,1.0,0.0,1
SandyKuti,0.0,0.0,0.0,0
Schanette55,0.0,0.0,0.0,0
Somethin_k,0.0,0.0,0.0,0
TeedIsMe,0.0,0.0,0.0,4
VACatLady,0.0,0.0,0.0,0
bob_shoots,0.0,0.0,0.0,0
bruce_bwkm,0.0,0.0,0.0,0
coldwarning,0.0,0.0,0.0,0
davi_ferrarez,0.0,0.0,0.0,0
dm3300,0.0,0.0,0.0,0
galnolabebu,0.0,0.0,0.0,0
julianswainson,0.0,0.0,0.0,0
kathystone1221,0.0,0.0,0.0,0
kblast523,1.0,0.0,0.0,0
kzocd,0.0,0.0,0.0,0
lisaginardi,0.0,0.0,0.0,0
manf40,0.0,0.0,0.0,0
mcnellenbach,1.0,0.0,0.0,0
nickpaluzzi,0.0,0.0,0.0,0
pizzaital,0.0,0.0,0.0,0
roderickburrell,0.0,0.0,0.0,0
rothauch,0.0,0.0,0.0,0
sagittxrus,0.0,0.0,0.0,0
slxvmm,0.0,0.0,0.0,0
tentenvilu,0.0,0.0,0.0,0
thaimrc,0.0,0.0,0.0,0
timothy_burden,0.0,0.0,0.0,0
