user.screen_name,original_tweet_count,retweet_count,reply_count,mention_count
0ffical_C0NNOR,0.0,0.0,0.0,0
Ann34304939,0.0,0.0,0.0,0
Anthr0p0m0rph,0.0,0.0,0.0,0
Ctuck41839958,1.0,0.0,0.0,0
DMLNewsApp,1.0,0.0,0.0,0
DawnSenate47,0.0,0.0,0.0,0
Deathspike,0.0,0.0,0.0,0
Dmacleod59,0.0,0.0,0.0,0
Duxgirl27,0.0,0.0,0.0,0
EcoExpert1,0.0,0.0,0.0,0
FLsunshineshop,0.0,0.0,0.0,0
GawlinskiLaura,0.0,0.0,0.0,0
GoadTrump,1.0,0.0,0.0,0
KNatkaniec,0.0,0.0,0.0,0
MColetteK,0.0,0.0,0.0,0
MRKREEP,0.0,0.0,0.0,0
MadiaraJohn,0.0,0.0,0.0,0
MrBond2229,0.0,0.0,0.0,0
SiddonsDan,0.0,0.0,0.0,2
TMcCasey,0.0,0.0,0.0,0
TheRealTD1,0.0,0.0,0.0,0
TigerGaming_com,1.0,0.0,0.0,0
alexdadas,0.0,0.0,0.0,0
brokenarrow828,0.0,0.0,0.0,0
ccaspen,0.0,0.0,0.0,0
cepheus7mm,0.0,0.0,0.0,0
chuck2tall,0.0,0.0,0.0,0
dliss62,0.0,0.0,0.0,0
embracethecray,0.0,0.0,0.0,0
gigibuddapdx,0.0,0.0,0.0,0
gmafkagailfan,0.0,0.0,0.0,0
greeneyedlucy84,0.0,0.0,0.0,0
jeffrey_mcvay24,0.0,0.0,0.0,0
karneybrazil,0.0,0.0,0.0,0
lbastura,0.0,0.0,0.0,0
maggie79222399,0.0,0.0,0.0,0
masporrashovana,1.0,0.0,0.0,0
missmar3211,0.0,0.0,0.0,0
monkeyface__,0.0,0.0,0.0,0
mwilliams3865,0.0,0.0,0.0,0
niallhpoet,0.0,0.0,0.0,0
padenrizkidz,0.0,0.0,0.0,0
robhaan1,0.0,0.0,0.0,0
sjrlady,0.0,0.0,0.0,0
southiebred,0.0,0.0,0.0,0
swestlady65,0.0,0.0,0.0,0
tend2wobble,0.0,0.0,0.0,0
vickiemwv,0.0,0.0,0.0,0
xoxosalma_,0.0,0.0,0.0,0
xpect0patronum_,0.0,0.0,0.0,0
